## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.custom1,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
ashantinomad,Ashanti Nomad,"men,men:shirts","The Ashanti is a great looking tee made from high-quality, durable material.",/geometrixx/en/men/shirts/ashanti-nomad/_jcr_content/par/product/image.nav.jpg,29.5,/geometrixx/en/men/shirts/ashanti-nomad.html,10,,,,,,,,,,,,
bambaracargo,Bambara Cargo,"men,men:shirts",The Bambara tee is made with a light weave of pure cotton.,/geometrixx/en/men/shirts/bambara-cargo/_jcr_content/par/product/image.nav.jpg,12.5,/geometrixx/en/men/shirts/bambara-cargo.html,93,,,,,,,,,,,,
edmontonwinter,Edmonton Winter,"men,men:coats,equipment,equipment:skiing",This is a brand new product,/geometrixx/en/men/coats/edmonton-winter/_jcr_content/par/product/image.nav.jpg,160,/geometrixx/en/men/coats/edmonton-winter.html,14,,,,,,,,,,,,
fulaninomad,Fulani Nomad,"men,men:pants,equipment,equipment:hiking",This is a brand new product,/geometrixx/en/men/pants/fulani-nomad/_jcr_content/par/product/image.nav.jpg,59.9,/geometrixx/en/men/pants/fulani-nomad.html,55,,,,,,,,,,,,
jolasummer,Jola Summer,"men,men:shorts",This is a brand new product,/geometrixx/en/men/shorts/jola-summer/_jcr_content/par/product/image.nav.jpg,47,/geometrixx/en/men/shorts/jola-summer.html,78,,,,,,,,,,,,
markasport,Marka Sport,"men,men:shorts,equipment,equipment:running",This is a brand new product,/geometrixx/en/men/shorts/marka-sport/_jcr_content/par/product/image.nav.jpg,45,/geometrixx/en/men/shorts/marka-sport.html,12,,,,,,,,,,,,
tuaregsummer,Tuareg Summer,"men,men:shorts,equipment,equipment:hiking",This is a brand new product,/geometrixx/en/men/shorts/tuareg-summer/_jcr_content/par/product/image.nav.jpg,39.9,/geometrixx/en/men/shorts/tuareg-summer/_jcr_content/par/product/image.nav.jpg,41,,,,,,,,,,,,
borabora,Bora Bora,"women,women:shirts,equipment,equipment:running",This is a brand new product,/geometrixx/en/women/shirts/bora-bora/_jcr_content/par/product/image.nav.jpg,38,/geometrixx/en/women/shirts/bora-bora.html,66,,,,,,,,,,,,
calgarywinter,Calgary Winter,"women,women:coats,equipment,equipment:skiing",This is a brand new product,/geometrixx/en/women/coats/calgary-winter/_jcr_content/par/product/image.nav.jpg,280,/geometrixx/en/women/coats/calgary-winter.html,89,,,,,,,,,,,,
fijisport,Fiji Sport,"women,women:shorts,equipment,equipment:running",This is a brand new product,/geometrixx/en/women/shorts/fiji-sport/_jcr_content/par/product/image.nav.jpg,32,/geometrixx/en/women/shorts/fiji-sport.html,10,,,,,,,,,,,,
mauimarine,Maui Marine,"women,women:shirts",This is a brand new product,/geometrixx/en/women/shirts/maui-marine/_jcr_content/par/product/image.nav.jpg,29.9,/geometrixx/en/women/shirts/maui-marine.html,33,,,,,,,,,,,,
palausummer,Palau Summer,"women,women:shirts",This is a brand new product,/geometrixx/en/women/shirts/palau-summer/_jcr_content/par/product/image.nav.jpg,55,/geometrixx/en/women/shirts/palau-summer.html,50,,,,,,,,,,,,
saskatoonparka,Saskatoon Parka,"women,women:coats,equipment,equipment:skiing",This is a brand new product,/geometrixx/en/women/coats/saskatoon-parka/_jcr_content/par/product/image.nav.jpg,299,/geometrixx/en/women/coats/saskatoon-parka.html,71,,,,,,,,,,,,
tahitisummer,Tahiti Summer,"women,women:shorts",This is a brand new product,/geometrixx/en/women/shorts/tahiti-summer/_jcr_content/par/product/image.nav.jpg,49.9,/geometrixx/en/women/shorts/tahiti-summer.html,99,,,,,,,,,,,,
tongafashion,Tonga Fashion,"women,women:pants",This is a brand new product,/geometrixx/en/women/pants/tonga-fashion/_jcr_content/par/product/image.nav.jpg,45,/geometrixx/en/women/pants/tonga-fashion.html,15,,,,,,,,,,,,
tupaisummer,Tupai Summer,"women,women:shirts",This is a brand new product,/geometrixx/en/women/shirts/tupai-summer/_jcr_content/par/product/image.nav.jpg,33,/geometrixx/en/women/shirts/tupai-summer.html,22,,,,,,,,,,,,
abidjanwater,Abidjan Water,"equipment,equipment:swimming",This is a brand new product,/geometrixx/en/equipment/swimming/abidjan-water/_jcr_content/par/product/image.nav.jpg,38.9,/geometrixx/en/equipment/swimming/abidjan-water.html,60,,,,,,,,,,,,
baffinsnow,Baffin Snow,"equipment,equipment:skiing",This is a brand new product,/geometrixx/en/equipment/skiing/baffin-snow/_jcr_content/par/product/image.nav.jpg,38,/geometrixx/en/equipment/skiing/baffin-snow.html,84,,,,,,,,,,,,
banffsnow,Banff Snow,"equipment,equipment:skiing",This is a brand new product,/geometrixx/en/equipment/skiing/banff-snow/_jcr_content/par/product/image.nav.jpg,220,/geometrixx/en/equipment/skiing/banff-snow.html,12,,,,,,,,,,,,
blackcombsnow,Blackcomb Snow,"equipment,equipment:skiing",This is a brand new product,/geometrixx/en/equipment/skiing/blackcomb-snow/_jcr_content/par/product/image.nav.jpg,75,/geometrixx/en/equipment/skiing/blackcomb-snow.html,45,,,,,,,,,,,,
brazzaville,Brazzaville,"equipment,equipment:swimming",This is a brand new product,/geometrixx/en/equipment/swimming/brazzaville/_jcr_content/par/product/image.nav.jpg,52,/geometrixx/en/equipment/swimming/brazzaville.html,69,,,,,,,,,,,,
cajamara,Cajamara,"equipment,equipment:biking",This is a brand new product,/geometrixx/en/equipment/biking/cajamara/_jcr_content/par/product/image.nav.jpg,610,/geometrixx/en/equipment/biking/cajamara.html,91,,,,,,,,,,,,
cuzco,Cuzco,"equipment,equipment:hiking",This is a brand new product,/geometrixx/en/equipment/hiking/cuzco/_jcr_content/par/product/image.nav.jpg,210,/geometrixx/en/equipment/hiking/cuzco.html,0,,,,,,,,,,,,
davostrek,Davos Trek,"equipment,equipment:hiking",This is a brand new product,/geometrixx/en/equipment/hiking/davos-trek/_jcr_content/par/product/image.nav.jpg,15,/geometrixx/en/equipment/hiking/davos-trek.html,38,,,,,,,,,,,,
ferniesnow,Fernie Snow,"equipment,equipment:skiing",This is a brand new product,/geometrixx/en/equipment/skiing/fernie-snow/_jcr_content/par/product/image.nav.jpg,38,/geometrixx/en/equipment/skiing/fernie-snow.html,57,,,,,,,,,,,,
halifaxwinter,Halifax Winter,"equipment,equipment:skiing",This is a brand new product,/geometrixx/en/equipment/skiing/halifax-winter/_jcr_content/par/product/image.nav.jpg,22,/geometrixx/en/equipment/skiing/halifax-winter.html,75,,,,,,,,,,,,
interlakentrek,Interlaken Trek,"equipment,equipment:hiking",This is a brand new product,/geometrixx/en/equipment/hiking/interlaken-trek/_jcr_content/par/product/image.nav.jpg,189.9,/geometrixx/en/equipment/hiking/interlaken-trek.html,96,,,,,,,,,,,,
irianjaya,Irian Jaya,"equipment,equipment:sunglasses",This is a brand new product,/geometrixx/en/equipment/sunglasses/irian-jaya/_jcr_content/par/product/image.nav.jpg,37,/geometrixx/en/equipment/sunglasses/irian-jaya.html,17,,,,,,,,,,,,
kamloopssnow,Kamloops Snow,"equipment,equipment:skiing",This is a brand new product,/geometrixx/en/equipment/skiing/kamloops-snow/_jcr_content/par/product/image.nav.jpg,190,/geometrixx/en/equipment/skiing/kamloops-snow.html,49,,,,,,,,,,,,
kawarthasnow,Kawartha Snow,"equipment,equipment:skiing",This is a brand new product,/geometrixx/en/equipment/skiing/kawartha-snow/_jcr_content/par/product/image.nav.jpg,82,/geometrixx/en/equipment/skiing/kawartha-snow.html,63,,,,,,,,,,,,
kelownasnow,Kelowna Snow,"equipment,equipment:skiing",This is a brand new product,/geometrixx/en/equipment/skiing/kelowna-snow/_jcr_content/par/product/image.nav.jpg,38,/geometrixx/en/equipment/skiing/kelowna-snow.html,81,,,,,,,,,,,,
lagosminilongboard,Lagos Mini Longboard,"equipment,equipment:surfing",This is a brand new product,/geometrixx/en/equipment/surfing/lagos-mini-longboard/_jcr_content/par/product/image.nav.jpg,319.9,/geometrixx/en/equipment/surfing/lagos-mini-longboard.html,8,,,,,,,,,,,,
longirodtrek,Longirod Trek,"equipment,equipment:hiking",This is a brand new product,/geometrixx/en/equipment/hiking/longirod-trek/_jcr_content/par/product/image.nav.jpg,89,/geometrixx/en/equipment/hiking/longirod-trek.html,28,,,,,,,,,,,,
mombassarunners,Mombassa Runners,"equipment,equipment:running",This is a brand new product,/geometrixx/en/equipment/running/mombassa-runners/_jcr_content/par/product/image.nav.jpg,120,/geometrixx/en/equipment/running/mombassa-runners.html,52,,,,,,,,,,,,
monttremblant,Mont Tremblant,"equipment,equipment:skiing",This is a brand new product,/geometrixx/en/equipment/skiing/mont-tremblant/_jcr_content/par/product/image.nav.jpg,67,/geometrixx/en/equipment/skiing/mont-tremblant.html,70,,,,,,,,,,,,
montrealsnow,Montreal Snow,"equipment,equipment:skiing",This is a brand new product,/geometrixx/en/equipment/skiing/montreal-snow/_jcr_content/par/product/image.nav.jpg,29.9,/geometrixx/en/equipment/skiing/montreal-snow.html,94,,,,,,,,,,,,
nairobirunners,Nairobi Runners,"equipment,equipment:running",This is a brand new product,/geometrixx/en/equipment/running/nairobi-runners/_jcr_content/par/product/image.nav.jpg,75,/geometrixx/en/equipment/running/nairobi-runners.html,20,,,,,,,,,,,,
nunavutfleece,Nunavut Fleece,"equipment,equipment:hiking",This is a brand new product,/geometrixx/en/equipment/hiking/nunavut-fleece/_jcr_content/par/product/image.nav.jpg,150,/geometrixx/en/equipment/hiking/nunavut-fleece.html,44,,,,,,,,,,,,
rajaampat,Raja Ampat,"equipment,equipment:sunglasses",This is a brand new product,/geometrixx/en/equipment/sunglasses/raja-ampat/_jcr_content/par/product/image.nav.jpg,36,/geometrixx/en/equipment/sunglasses/raja-ampat/_jcr_content/par/product/image.nav.jpg,62,,,,,,,,,,,,
sparrow,Sparrow,"equipment,equipment:biking",This is a brand new product,/geometrixx/en/equipment/biking/sparrow/_jcr_content/par/product/image.nav.jpg,1250,/geometrixx/en/equipment/biking/sparrow.html,87,,,,,,,,,,,,
sumatra,Sumatra,"equipment,equipment:sunglasses",This is a brand new product,/geometrixx/en/equipment/sunglasses/sumatra/_jcr_content/par/product/image.nav.jpg,39.99,/geometrixx/en/equipment/sunglasses/sumatra.html,0,,,,,,,,,,,,
tacna,Tacna,"equipment,equipment:biking",This is a brand new product,/geometrixx/en/equipment/biking/tacna/_jcr_content/par/product/image.nav.jpg,62,/geometrixx/en/equipment/biking/tacna.html,100,,,,,,,,,,,,
timor,Timor,"equipment,equipment:sunglasses",This is a brand new product,/geometrixx/en/equipment/sunglasses/timor/_jcr_content/par/product/image.nav.jpg,24,/geometrixx/en/equipment/sunglasses/timor.html,31,,,,,,,,,,,,
tobermorysnow,Tobermory Snow,"equipment,equipment:skiing",This is a brand new product,/geometrixx/en/equipment/skiing/tobermory-snow/_jcr_content/par/product/image.nav.jpg,248,/geometrixx/en/equipment/skiing/tobermory-snow.html,58,,,,,,,,,,,,
whistlersnow,Whistler Snow,"equipment,equipment:skiing",This is a brand new product,/geometrixx/en/equipment/skiing/whistler-snow/_jcr_content/par/product/image.nav.jpg,340,/geometrixx/en/equipment/skiing/whistler-snow.html,77,,,,,,,,,,,,
